
"I'm angry with your service";flight_experience_review;0.70993638038635
"Change Booking";flight_ticket_booking_changes;1
empty;no_intent_found;empty
empty;no_intent_found;empty
"My flight number is 00918452";flight_number;0.94510583877563
"Are cats allowed in the cabin?";flight_pets;0.92797164916992
"The riyadh flight is canceled?";flight_canceled;0.90519599914551
"Can you check the flight to Riyadh please?";flight_checkin;0.38019776344299
"Hey there, I've lost my luggage.... I need it ASAP as I'm on holiday and have no clothes here..";flight_baggage_lost;0.66366376876831
empty;no_intent_found;empty
empty;empty_string;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Get Started";small_talk;0.58083984851837
Hello?;small_talk;1
empty;no_intent_found;empty
"I need to rebook my flight from TX to FL";flight_ticket_cancel;0.30396800041199
"Hi! I need help";flight_question;0.90001106262207
"Hi there! I have a question about my flight to Hungary";flight_ticket_booking_changes;0.35646071434021
"Hey, do you fly to japan?";flight_ticket_booking;0.34484997987747
Hi;small_talk;1
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;empty_string;empty
"Hi Claralines, I'm trying to book a flight through your website but I can´t!";flight_ticket_online_problem;0.56084587574005
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
Hi;small_talk;1
Hello!;small_talk;1
empty;no_intent_found;empty
"My order is lost";flight_booking_information_delay;0.62268567085266
Hallo;small_talk;0.92768268585205
empty;no_intent_found;empty
empty;empty_string;empty
Hello;small_talk;1
"Hi there, I haven't received my booking information??";flight_booking_information_delay;0.86107492446899
"Talk to Human";small_talk;0.22708443653793
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;empty_string;empty
empty;no_intent_found;empty
Hello;small_talk;1
"Hey there, I still haven't received my booking information and I paid for my flight last week..";flight_booking_information_delay;0.72198271751404
Thanks;small_talk;0.38029172426078
"Are you still serving food on the flights?";flight_food_information;0.92286858558655
empty;no_intent_found;empty
empty;no_intent_found;empty
"Time to fly again???";flight_question;0.60182580947876
empty;no_intent_found;empty
empty;empty_string;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"hello i have a question";flight_question;0.73260450363159
empty;no_intent_found;empty
"Flying out from Netherlands to Jamaica, do you need a pcr test to onboard?";flight_question;0.39912334680557
"What are the rules for flying with your dog? I would like to have him with me in the cabin";flight_pets;0.21973507402938
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;empty_string;empty
"Hi Claralines";small_talk;0.92102789878845
empty;empty_string;empty
"Hello! I have flights for next Sunday but I have to be in quarantine, how can I change them?";flight_ticket_booking_changes;0.3465097784996
"Hi there";small_talk;0.91296753883362
"Hi there";small_talk;0.91296753883362
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;empty_string;empty
"Hi Claralines - can you send me my refund for the previous flights cancellation? Thanks.";flight_ticket_refunds;0.58479423522949
"2pm please. thanks";small_talk;0.25685283004967
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hello. I need flight times to get to Dallas";flight_delays;0.2723162651062
"Get Started";small_talk;0.58083984851837
hello;small_talk;1
Delayed;flight_delays;0.77308959960937
empty;empty_string;empty
