userinput;choosen Intent;confidence
I'm angry with your service;flight_experience_review;0.8752183
Change Booking;flight_ticket_booking_changes;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
My flight number is 00918452;flight_number;0.7116337
Are cats allowed in the cabin?;flight_pets;0.7288886
The riyadh flight is canceled?;flight_canceled;0.7832012
Can you check the flight to Riyadh please?;flight_checkin;0.52083266
Hey there, I've lost my luggage.... I need it ASAP as I'm on holiday and have no clothes here..;flight_baggage_lost;0.64515936
@clara_lines Hi there, can you help me?;flight_question;0.68148166
NULL;intent_empty;0
مرحبا هل يمكنك مساعدتي في الحجز؟;Default Fallback Intent;1
🇬🇧 English;Default Fallback Intent;1
Get Started;flight_booking_information_delay;0.49773383
Hello?;small_talk;1
1234FGH;Default Fallback Intent;1
I need to rebook my flight from TX to FL;flight_ticket_booking_changes;0.41407686
Hi! I need help;flight_question;1
Hi there! I have a question about my flight to Hungary;Default Fallback Intent;1
Hey, do you fly to japan?;flight_question;0.575005
Hi;small_talk;1
Hola Claralines, estoy intentando reservar en vuestra página web pero no funciona!;Default Fallback Intent;1
3456;Default Fallback Intent;1
😡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
NULL;intent_empty;0
Hi Claralines, I'm trying to book a flight through your website but I can´t!;flight_ticket_online_problem;0.6290864
4567;Default Fallback Intent;1
😡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
Hi;small_talk;1
Hello!;small_talk;1
Roscamlaura1@gmail.com;Default Fallback Intent;1
My order is lost;Default Fallback Intent;1
Hallo;Default Fallback Intent;1
Het;Default Fallback Intent;1
NULL;intent_empty;0
Hello;small_talk;1
Hi there, I haven't received my booking information??;flight_booking_information_delay;0.69564044
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
NULL;intent_empty;0
45283;Default Fallback Intent;1
Hello;small_talk;1
Hey there, I still haven't received my booking information and I paid for my flight last week..;flight_ticket_booking_changes;0.49619162
Thanks;small_talk;1
Are you still serving food on the flights?;flight_food_information;1
I don't know yet;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
Time to fly again???;flight_question;0.6024059
Heeey;Default Fallback Intent;1
NULL;intent_empty;0
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.915421
hello i have a question;small_talk;1
Hello, this is a tes message from Rozhin.;small_talk;0.89520663
Flying out from Netherlands to Jamaica, do you need a pcr test to onboard?;flight_question;0.7428255
What are the rules for flying with your dog? I would like to have him with me in the cabin;flight_question;0.4000896
🌍 Find Destination;flight_ticket_booking;0.5886889
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
Hi Claralines;small_talk;0.8687374
NULL;intent_empty;0
Hello! I have flights for next Sunday but I have to be in quarentine, how can I change them?;flight_ticket_booking_changes;0.6630011
Hi there;small_talk;1
Hi there;small_talk;1
12345 and my destination was Barcelona;Default Fallback Intent;1
😡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
NULL;intent_empty;0
Hi Claralines - can you send me my refund for the previous flights cancellation? Thanks.;flight_canceled;0.6716508
2pm please. thanks;Default Fallback Intent;1
I am flying from DC;flight_question;0.50255734
I am hoping to leave tomorrow afternoon;Default Fallback Intent;1
Hello. I need flight times to get to Dallas;Default Fallback Intent;1
Get Started;flight_booking_information_delay;0.49773383
hello;small_talk;1
Delayed;flight_delays;0.70570576
NULL;intent_empty;0
Hi.. my flight number is 123ABC and I was flying to Miami;flight_number;0.63257974
😡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
🇬🇧 English;Default Fallback Intent;1
Get Started;flight_booking_information_delay;0.49773383
Hello!;small_talk;1
Hi there, can you help me?;flight_question;1
Hi there, can you help me?;flight_question;1
Hey I need some help!;flight_question;0.8002132
12345;Default Fallback Intent;1
Change Booking;flight_ticket_booking_changes;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
Hi Claralines. I wanted to cancel my upcoming flight. How do I do that?;flight_ticket_cancel;0.64856184
Hello, I need help changing a flight!;flight_question;0.6114755
NULL;intent_empty;0
Thanks;small_talk;1
LAX;Default Fallback Intent;1
🌍 Find Destination;flight_ticket_booking;0.5886889
🇬🇧 English;Default Fallback Intent;1
Test;small_talk;1
Get Started;flight_booking_information_delay;0.49773383
Test;small_talk;1
test request;small_talk;0.9848192
Get Started;flight_booking_information_delay;0.49773383
⏰Delayed;flight_delays;0.68264437
ਆਰਡਰ ਵਿੱਚ ਦੇਰੀ ਹੋਈ ਪਰ ਪੀਜ਼ਾ ਸ਼ਾਨਦਾਰ ਸੀ!;Default Fallback Intent;1
Test;small_talk;1
NULL;intent_empty;0
Pizza was okay;flight_food_experience_review;0.5776512
Order is delayed but pizza was awesome!;flight_booking_information_delay;0.5752028
Hey do you fly to dubai?;flight_question;0.575005
Yemeğim çok geç geldi çok acıktım;Default Fallback Intent;1
My flight number is 9274;flight_number;0.7116337
My food came so delayed on the flight! I was starving..;flight_food_delayed;0.6385592
can you fix the food on the flight its horrible!;flight_food_information;0.568059
I need some help!;flight_question;0.8243926
1123;Default Fallback Intent;1
Change Booking;flight_ticket_booking_changes;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
Beware, Claralines gave me such a difficult time with changing my flight time! Make sure you know before booking with them. ;flight_ticket_booking_changes;0.7475384
Cool! Amazing Claralines. I loveeee flying with you guys. ;flight_question;0.43298373
NULL;intent_empty;0
Hello ;small_talk;1
When will you fly again?;flight_question;0.7166039
Hi Claralines, when will you fly again?;flight_question;0.7091098
Puedes ayudarme?;Default Fallback Intent;1
Tengo una pregunta sobre sus ventas al Caribe;Default Fallback Intent;1
Hola;small_talk;1
Do you fly to Dubai still?;flight_question;0.58236843
you can help me by switching back to how it used to be..;flight_question;0.67207694
The food on the plane was so bad!! 😟;flight_food_experience_review;0.71747035
Hello! With the new restrictions, do I need a negative test to fly to Spain?;flight_question;0.69345313
Hello there, - is it true that you have a flexible booking policy due to Covid?;flight_booking_information_delay;0.4790536
NULL;intent_empty;0
Hello;small_talk;1
NULL;intent_empty;0
123ABC;Default Fallback Intent;1
Hi Claralines! I need to cancel my flight;flight_ticket_cancel;0.69848233
🇬🇧 English;Default Fallback Intent;1
hello;small_talk;1
Get Started;flight_booking_information_delay;0.49773383
Hi, can you help me?;flight_question;1
I have a question;small_talk;1
Hey!;small_talk;1
Hi Claralines!;small_talk;0.9670314
Thanks;small_talk;1
Can you help;flight_question;1
Hello;small_talk;1
Hi;small_talk;1
Hello;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
NULL;intent_empty;0
Sorry I now need to change this to Miami!;flight_ticket_booking_changes;0.5365867
Hi Claralines - your phone number has been unreachable every time ive tried to call. Can you help change my flight to Panama City? ;flight_ticket_booking_changes;0.63685507
Are there any covid measures I should be careful of?;small_talk;0.7691092
Thanks do you fly to KSA?;flight_question;0.58236843
Hi, can you help me with a flight detail please?;flight_question;0.6471482
Hello, can you please reply?;Default Fallback Intent;1
NULL;intent_empty;0
4567;Default Fallback Intent;1
😡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
NULL;intent_empty;0
ClaraLines;Default Fallback Intent;1
